"Date","Price","Open","High","Low","Vol.","Change"
"Dec 31, 2015","430.0","427.1","433.1","417.1","65.21K","0.66"
"Dec 30, 2015","427.1","431.9","435.0","420.8","68.27K","-1.10"
"Dec 29, 2015","431.9","421.8","433.6","419.3","70.65K","2.41"
"Dec 28, 2015","421.8","422.4","429.9","417.1","68.35K","-0.15"
"Dec 27, 2015","422.4","415.4","425.5","406.1","67.58K","1.69"
"Dec 26, 2015","415.4","454.0","456.5","400.5","208.58K","-8.52"
"Dec 25, 2015","454.0","453.0","457.4","449.5","42.39K","0.24"
"Dec 24, 2015","453.0","442.4","460.6","441.8","79.60K","2.38"
"Dec 23, 2015","442.4","437.0","444.8","434.3","63.25K","1.24"
"Dec 22, 2015","437.0","437.6","443.2","433.3","65.79K","-0.13"
"Dec 21, 2015","437.6","441.8","445.5","424.0","121.99K","-0.95"
"Dec 20, 2015","441.8","461.2","462.8","431.1","121.53K","-4.21"
"Dec 19, 2015","461.2","463.2","466.0","452.3","61.31K","-0.43"
"Dec 18, 2015","463.2","455.5","466.1","453.5","83.41K","1.68"
"Dec 17, 2015","455.5","454.0","458.4","447.3","64.58K","0.34"
"Dec 16, 2015","454.0","462.6","465.2","437.4","185.22K","-1.87"
"Dec 15, 2015","462.6","442.0","464.2","440.7","107.06K","4.67"
"Dec 14, 2015","442.0","434.7","449.5","428.8","218.92K","1.68"
"Dec 13, 2015","434.7","432.3","441.0","420.8","64.14K","0.56"
"Dec 12, 2015","432.3","449.8","467.7","403.7","211.44K","-3.90"
"Dec 11, 2015","449.8","415.5","453.4","413.7","175.06K","8.26"
"Dec 10, 2015","415.5","416.0","420.4","409.5","71.66K","-0.12"
"Dec 09, 2015","416.0","410.7","424.6","403.3","147.36K","1.30"
"Dec 08, 2015","410.7","394.3","411.1","388.0","74.36K","4.16"
"Dec 07, 2015","394.3","393.4","398.7","381.7","96.75K","0.23"
"Dec 06, 2015","393.4","386.7","402.2","382.6","131.86K","1.73"
"Dec 05, 2015","386.7","361.7","390.3","361.5","115.20K","6.92"
"Dec 04, 2015","361.7","360.3","364.0","354.3","60.55K","0.38"
"Dec 03, 2015","360.3","360.0","371.4","355.5","87.23K","0.09"
"Dec 02, 2015","360.0","361.8","363.4","347.2","92.45K","-0.50"
"Dec 01, 2015","361.8","378.0","379.0","353.7","111.91K","-4.28"
"Nov 30, 2015","378.0","370.8","382.6","367.9","129.77K","1.92"
"Nov 29, 2015","370.8","355.8","372.8","354.5","67.37K","4.22"
"Nov 28, 2015","355.8","359.5","360.1","350.5","56.17K","-1.03"
"Nov 27, 2015","359.5","353.7","363.9","345.1","103.48K","1.63"
"Nov 26, 2015","353.7","327.5","368.9","327.4","211.38K","8.01"
"Nov 25, 2015","327.5","318.4","330.0","315.7","77.68K","2.88"
"Nov 24, 2015","318.4","322.1","323.3","315.5","50.66K","-1.17"
"Nov 23, 2015","322.1","322.8","325.0","319.9","42.73K","-0.20"
"Nov 22, 2015","322.8","324.7","326.9","319.4","36.75K","-0.59"
"Nov 21, 2015","324.7","321.1","328.4","318.4","45.00K","1.11"
"Nov 20, 2015","321.1","325.0","327.1","309.5","109.99K","-1.19"
"Nov 19, 2015","325.0","335.9","335.6","323.4","86.38K","-3.26"
"Nov 18, 2015","335.9","333.9","337.4","329.4","78.36K","0.60"
"Nov 17, 2015","333.9","330.2","342.9","328.1","98.25K","1.12"
